8.46292	0.243462	-3.03636	-0.0873504	8.46292	0.243462	8.6	0.25	-3.00029	0
8.42074	0.250732	-3.03055	-0.0800715	8.44818	0.251553	8.45	0.25	-3.00027	0
8.39641	0.323888	-1.31397	1.42962	8.56759	0.241943	8.45	0.25	0	0
8.38412	0.255253	-1.25607	0.0487008	8.45582	0.253997	8.45	0.25	0	0
8.30267	0.253089	-1.55184	0.000707311	8.42544	0.254042	8.35	0.25	-1.81979	0
8.22386	0.249411	-1.54662	-0.021348	8.23962	0.24916	8.25	0.25	-1.81978	0
8.03027	0.243687	-2.63142	-0.0626462	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
7.88642	0.185549	-2.63802	-0.29102	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
7.71864	0.175049	-2.90841	-0.276233	7.61269	0.155818	7.7	0.15	-2.99982	0
7.56657	0.16062	-2.91637	-0.277934	7.54016	0.159641	7.55	0.15	-2.99982	0
7.46417	0.141779	-2.43812	-0.285226	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
7.33301	0.0764664	-2.43277	-0.427111	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
7.17958	0.0553098	-2.60256	-0.420533	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
7.04	-0.0102772	-2.59749	-0.530414	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
6.94352	-0.0471564	-2.16757	-0.554949	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
6.82876	-0.16156	-2.1632	-0.7615	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
6.72525	-0.20148	-2.11228	-0.76792	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
6.62239	-0.335496	-2.1146	-1.00006	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
6.58957	-0.407773	-1.55741	-1.08729	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
6.5174	-0.53905	-1.5564	-1.27358	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
6.49094	-0.63322	-1.07351	-1.3764	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
6.42887	-0.849485	-1.10004	-1.71862	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494
6.34835	-0.932881	-1.28034	-1.66603	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898
6.26631	-1.11734	-1.3209	-1.89294	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896
6.35027	-1.31537	-0.110337	-2.3324	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894
6.3378	-1.52885	-0.144481	-2.53989	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891
6.2959	-1.62836	-0.445334	-2.40019	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985
6.25698	-1.82832	-0.501857	-2.59447	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847
6.30526	-2.01944	0.0878675	-2.9083	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994
6.31159	-2.18983	0.0819098	-2.96736	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994
